Datetime,Temperature (C),Humidity (%),Wind Speed (m/s),Weather
2024-08-09 06:00:00,19.600000000000023,58,3.89,scattered clouds
2024-08-09 09:00:00,16.890000000000043,72,1.08,light rain
2024-08-09 12:00:00,14.310000000000002,82,2.77,light rain
2024-08-09 15:00:00,13.140000000000043,86,3.56,light rain
2024-08-09 18:00:00,12.260000000000048,84,3.38,light rain
2024-08-09 21:00:00,11.330000000000041,84,2.87,few clouds
2024-08-10 00:00:00,14.370000000000005,77,3.15,few clouds
2024-08-10 03:00:00,15.850000000000023,73,3.56,overcast clouds
2024-08-10 06:00:00,15.650000000000034,71,3.8,broken clouds
2024-08-10 09:00:00,14.090000000000032,79,2.63,broken clouds
2024-08-10 12:00:00,13.760000000000048,81,1.8,overcast clouds
2024-08-10 15:00:00,13.170000000000016,83,1.9,overcast clouds
2024-08-10 18:00:00,12.57000000000005,86,2.99,overcast clouds
2024-08-10 21:00:00,12.629999999999995,86,2.58,few clouds
2024-08-11 00:00:00,15.580000000000041,73,3.42,scattered clouds
2024-08-11 03:00:00,16.420000000000016,67,3.99,scattered clouds
2024-08-11 06:00:00,15.920000000000016,70,3.74,scattered clouds
2024-08-11 09:00:00,14.770000000000039,78,3.15,broken clouds
2024-08-11 12:00:00,14.730000000000018,82,3.0,light rain
2024-08-11 15:00:00,14.210000000000036,86,2.04,light rain
2024-08-11 18:00:00,13.629999999999995,87,0.22,light rain
2024-08-11 21:00:00,13.180000000000007,89,1.09,light rain
2024-08-12 00:00:00,16.30000000000001,77,0.98,broken clouds
2024-08-12 03:00:00,17.55000000000001,68,2.59,broken clouds
2024-08-12 06:00:00,16.810000000000002,73,3.42,broken clouds
2024-08-12 09:00:00,15.490000000000009,84,2.28,overcast clouds
2024-08-12 12:00:00,14.970000000000027,87,2.86,light rain
2024-08-12 15:00:00,14.670000000000016,88,1.89,light rain
2024-08-12 18:00:00,13.79000000000002,91,1.72,light rain
2024-08-12 21:00:00,13.930000000000007,92,2.68,light rain
2024-08-13 00:00:00,14.390000000000043,89,3.93,light rain
2024-08-13 03:00:00,15.330000000000041,86,3.61,light rain
2024-08-13 06:00:00,14.689999999999998,90,4.45,light rain
2024-08-13 09:00:00,14.600000000000023,91,4.23,overcast clouds
2024-08-13 12:00:00,14.150000000000034,93,2.82,overcast clouds
2024-08-13 15:00:00,13.270000000000039,93,2.41,broken clouds
2024-08-13 18:00:00,12.160000000000025,93,2.22,broken clouds
2024-08-13 21:00:00,11.810000000000002,91,2.53,broken clouds
2024-08-14 00:00:00,15.640000000000043,72,2.43,overcast clouds
2024-08-14 03:00:00,18.75,57,1.42,overcast clouds
